end_time,id,spot_id,start_time,status,total_cost,user_id
2025-08-25 16:49:39.118640,1,1,2025-08-25 16:47:57.168826,completed,,2
2025-08-25 16:50:08.887371,2,1,2025-08-25 16:49:48.856804,cancelled,,2
2025-08-25 16:50:24.819450,3,11,2025-08-25 16:50:17.644547,completed,,2
2025-08-26 08:56:02.729361,4,1,2025-08-25 17:00:33.725820,completed,,2
2025-08-26 08:58:27.007861,5,11,2025-08-26 08:58:13.340903,cancelled,,2
2025-08-30 11:55:18.995208,6,1,2025-08-26 08:58:33.583489,completed,,2
2025-08-30 11:56:08.691712,7,1,2025-08-30 11:55:59.605603,completed,,2
2025-09-04 17:08:00.191749,8,1,2025-09-03 16:55:22.184151,completed,,2
,9,11,2025-09-04 17:08:07.519647,active,,2
